Text	Label
Recientamente fui al Guatemala para hacer investigacion para mi tesis sobre mujeres que particparon en el proceso de paz. Fui a Guatemala porque estoy estudiando dos casos para comparison, Guatemala y Colombia. En Guatemala fue una mujer, Luz Mendez, presente durante los negocios por la paz. Colombia hacia cuatro tiempos a hacer paz, pero nunca con una mujer presente. Me encanta Guatemala. Viaje durante la navidad para dos semanas con mi novio. Fuimos a las montanas a Nebaj, y pasamos mucho tiempo alla. El conflicto fue muy mal en este región y queri a empezar mi viaje en este pueblo con la gente que fue impacto mucho. Hacimos muchos caminas, hablamos con muchas personas, fuimos a los mercados, y mucho mas. Cuando pasamos tiempo en Nebaj, fuimos a Cocop, Chajul, y otras pueblos pequenos también. En Cocop pasamos el noche con una familia in su casa. Bebemos atol y comemos tamales de maize y frijoles. Las vistas de las montanas son bellísimas. Tambien, fuimos a Tikal en el norte. Tikal es muy interesante, fue una de las ciudades de Maya mas largas. Los templos son muy grandes y impresivos. Miramos muchos animales , como pájaros y monos. Tikal tiene mas touristas de Nebaj y muchas personas hablaron en ingles. Me gusta mucho a aprender sobre la Maya del pasado en el contexto de la Maya en Nebaj. Después fuimos al Lago de Atitlan. Alla dormimos en el villa muy bonita, con una vista del lago y los volcanos. Fue muy tranquil. Damos un paseo en la montana y fuimos perdidos. Caminamos a la alta, en el maize, pero no podemos encontrar el camino. Para regresar a nos cuarto, teníamos a caminar por la noche con solo uno luz. Yo tenia mucho miedo, yo gritaba porque yo quería a estar en nos cuarto y tenia hambre. Mi novio fue muy brazo y me ayudaba para encontrar el pueblo. Finalmente yo tenia a ir a la ciudad de Guatemala para hacer entrevistas para mi investigación. Hable con mujeres muy interesante, todas con experiencias diferentes. Una mujer fue una guerilla durante la guerra. Otra fue el primera mujer estar el presidente del congreso y ahora ella trabaja para los Naciones Unidos. Ella ayudo a negociar algos de los documentos que aceptaron en los acuerdos de paz. Otra mujer fue mas joven, y tiene ideas diferentes. Tambien fui a Antigua para hablar con una mujer. Antigua fue una ciudad muy linda, pero solo pasamos una noche alla. Me encanta mi experiencia en Guatemala. Viajando con mi novio hacernos mas cerca. Encontrando con las mujeres para entrevistarlas fue una oportunidad increíble para mi. Aprendi mucho sobre Guatemala, el gente, el proceso de paz, y como los personas viven hoy, después del conflicto. Quiero a regresar si tengo un oportunidad porque hay mucho mas a ver y aprender. Y también a practicar mi español! Quiero mucho a trabajar con la Sudamérica y necesito a hacer mi lengua mas braza. Fue una viaje que nunca me olvidar!	Lower_intermediate
El verano pasado, durantes las vacaciones, viví en Canada por tres meses. Viví a lado de un lago en un casita y estuve un cameraro en un restaurante. Este es un restaurante muy unico porque es un parte de El Iron City Fishing Club, un lugar con mucha historia porque fue fundado en 1881 y he sido un parte de la vida de mi familia por mas de cien anos. En el pasado sea un club para pescar pero ahora es un club para las familias, para practicar tenis, pescar, y disfrutar el verano. Me gusta hacer esquí aquatico y nadar. Iron City esta situada en una isla y se recuerda de una vida mas antigua. Soleamente puede visitar Iron City por un barrco. No hay muchos cosas normales en una vida moderno, por ejemplo, Viví sin un television, un movil, el comutador, y el internet. Es un lugar donde puede tomar el sol, leer un libro, y hablar con amigos. Este verano estuve la jefe de nuestra restaurante y los otros comeraros estuvieron los jovenes del club. Ellos tiene 15 y 16 anos y sus familias son miembros del club. Los chicos han disfrutido Iron City cada verano de sus vidas. Viví cerca de los jovenes porque todos los jovenes vivieron en casitas juntos. Yo no estuve la jefe sola, había cuatros otros jefes, mis amigos, que vivieron y trabajaron tampoco. Los otros cuatros jefes son mi mejores amigos, dos chicos y dos chicas, los dos son gemelos. Los dos chicos son hermanos y son gemelos y los dos chicas son hermanas y son gemelas. Yo fui la unica miembro de nuestra grupo sin un gemelo. Despues de trabajo, la cena, fuimos a una otra isla para relejar. Fui un verano fantastico. Estuve con mis cameraros, los jovenes, y ellos son personas muy divertidos y especiales. Tambien, estuve con mis mejores amigos en un lugar muy bonito y especial en mi corazon.	Upper_intermediate
"Quiero hablar de la región donde vivo en Francia. Es la Picardía y esta en el norte del país. Aquí los habitantes hablan el francés por supuesto, pero también algunas personas, sobretodo las personas viejas hablan un dialecto que es el picard. No es exactamente como el francés porque la gramática es diferente, el vocabulario también. Se dice que el francés utiliza algunas palabras de la lengua de Picardía. No tengo ejemplos si no la palabra baudet que significa burro en español. Aquí, hablo el francés, no el picard y me pena a comprender cuando las personas me hablan en picard. La lengua no es la sola cosa que es notable. En esta región se cultivan maíz, y otras cereales. Es una región donde la cultura es muy importante para la economía. En realidad, no hay muchas actividades terceras como antes. Como en los otros países de Europa, los empresarios prefieran el labor mas barato y por eso algunas actividades no continúan. Hoy, muchas personas se van de la región para vivir en Paris o simplemente para trabajar en Pais. La tasa del desempleo es muy alta en esta región (mas de 10 por cientos). La arquitectura de Picardía es esplendida. Por ejemplo, la catedral ""Notre Dame"" de Amiens es la mas alta en Europa. Es del 15 siglo cuando la arquitectura gótica fue muy presente y exagerada. A mi me gusta muchísimo esta arquitectura, pero aprecio también el estilo romano, barroco y otros. El paisaje de Picardía es relativamente llano. No olvidamos la canción de Jacques Brel la que habla del país llano. Cierto, su país llano se refiera a Bélgica, pero el norte de Francia es como la Bélgica. Es mi opinión! Es sin duda por eso que en el interior de la región se resienta la influencia del mar del norte. Yo vivo en la ciudad de Amiens y en coche me falta una hora para llegar al mar. Todavía, pienso que no hace tan calor que en otras partes del país a causa del efecto refrescante del mar. La costa de Picardía es muy diversa. Las playas tengan arena o piedras. En el espacio de 5 kilómetros se puede ver esta variedad. Yo prefiero las playas de arena, pero a mi me gusta irme a las playas de piedras de vez en cuando. Hay siempre personas en estas playas, pase lo que pase en la temperatura. No se si la industria de la pesca esta muy prospero, pero pienso que hay mucha actividades en el mar. Los jóvenes practican los deportes náuticos en la playa e en el mar: el kite surf, por ejemplo. La historia de Picardía es central en la de la Francia. Durante la segunda guerra mundial, fue ocupada por los alemanes y muchos edificios fueran destruidos por bombardeos masivos. El paisaje de muchos pueblos esta marcado de cementerios militares. De vez en cuando, voy en estos cementerios con un pensamiento para los soldados muertos para la Francia. Los cementerios son muy estéticos porque ordenados."	Upper_advanced
Primero, cuando Chaplin andadó en afuera cayó el polvo. Y, cuando Chaplin fumó, encontró un bebé. Porque encontró conchecito de bebé, se puso un bebé. Pero, una madre era enfadado. Chaplin trataró de lugar original. Porque Chaplin probable a encontró en guardia, Chaplin pasó en un hombre. Y Chaplin huyó pronto. Para Chaplin encontró el guardia, Chaplin traigo el vuelta. Finalmente, Chaplin encontró una carta.	Upper_beginner
El año pasado pasé las vacaciones de verano en España, concretamente, en Madrid. Salí de Iowa, en Estados Unidos el 5 de junio con unos alumnos míos y hicimos un viaje de dos semanas. Hicimos turismo en varios sitios españoles, como Sevilla, Madrid y Granada. Hicimos visitas a los grandes monumentos históricos. Por ejemplo, vimos la catedral de Sevilla, La Alhambra en Granada y el Palacio Real de Madrid. Los alumnos pasaron unos cinco días en casas de familias españolas en Huelva. Durante su estancia con ellas, aprendieron muchísimo sobre la cultura y lengua española. Durante ese tiempo, yo viví con un señor en Huelva. Tenía una casa en la playa y yo pasé todos los días tumbado al sol y bañándome en el mar. Al regresar a Madrid después de pasar por Andalucía, hicimos un viaje a Toledo. El día siguiente, volvimos a Estado Unidos. Dos días después, yo subí el avión de nuevo para volver a Madrid. Iba a pasar las siguientes seis semanas estudiando la literatura española. El verano pasado estudié la literatura de la guerra civil española, teorías literarias y filosofía española del siglo XX. Fue un verano de mucho trabajo, pero lo pasé muy bien. Durante los fines de semana, iba a la casa de una familia española que conozco. Ellos tienen una casa en las montañas fuera de Madrid. Iba en autobús para llegar allí. Mientras estaba allí, nadaba en la piscina, hablaba con ellos y leía mucho. Era un descanso merecido después de las semanas difíciles en Madrid con mis clases. Bueno, después de terminar mis estudios volví a Iowa. Hice un viaje a Chicago con mi novia. Fuimos de compras en la Avenida Michigan y yo compré dos camisa nuevas. Hacía mucho calor en la calle, así que nosotros nos quedábamos en las tiendas lo más posible para huirnos del calor sofocante. Comimos en un restaurante italiano y el próximo día regresamos a Iowa. También mi novia y yo hicimos una excursión a un parque de atracciones cerca de nustra cuidad. Fue un día muy divertida montando las montañas rusas y disfrutando del parque. A mí me gustan los parques de atracciones. Una vez mientras estaba en Madrid, mis amigos y yo fuimos al Parque de Atracciones en la Casa del Campo y lo pasamos fenomenal. Había una atracción que nos subió hacia el cielo y allí se paró. Después de unos segundos, nos dejó caer hacia el suelo. ¡Qué susto! Pero fue increíble y volvimos a montar muchas veces. Pues, me gustan mucho los parques de atracciones y las montañas rusas. Este verano después del curso y cuando vuelva a Estado Unidos, tengo ganas de ir de nuevo al Parque de Atracciones en Chicago. Será un fin fantástico a mi verano antes de volver al trabajo en agosto.	Upper_advanced
"Esa semana he visto una película muy buena de Michael Haneke. Es una película austríaca que se intitula _x0093_La cinta blanca_x0094_ y ha ganado muchos premios, como la Palma de Oro y el Globo de Oro. Es interesante decir que la película no en colores, sino en negro y blanco, lo que me dio un poquito de angustia. La película cuenta la história de un poblado em Alemania donde cosas misteriosas ocurren y nadie sabe quien las ha hecho. La primera cena es de un hombre, el médico del poblado, que sufre un accidente, pues su caballo tropeza en un hilo amarrado entre dos arboles. El médico necesita cuidados, entonces lo lleban para otra ciudad. No me recuerdo bien la secuencia de la película, pues hay muchos fragmentos mezclados. Pero la cena me más me ha gustado es la del chico que habla con su hermana más vieja sobre la muerte. Él pregunta lo que tenía una mujer y ela responde que ella está muerta. Él no sabe lo que es la muerte y su hermana le dice que es cuando la persona no vive más. Él quiere saber como se deja de vivir; cuando se está muy viejo o enfermo, responde su hermana. Todos mueren, pregunta el pequeño chico; sí, todos, le responde la chica. Hasta tú y papa? Sí. Hasta yo? Sí, pero todavía no, solo en muchos y muchos años, cuando tú bien viejito está. Entonces él dice muy serio, mama no ha viajado. No, ella ha morido, responde ella. Nervioso, él lanza su plato de la mesa. Además, dos niños son secuestrados y torturados, un granjero es prendido fuego y todos están consternados y no entienden el porqué de estos castigos que parecen ser rituales. La película es narrada por el maestro que llegó hace poco tiempo en el poblado y tienta resolver el misterio. En el final de la película no se encuentra el responsable por los ""castigos"" y empeza la guerra."	Lower_advanced
Chaplin es muy interesante. Fue un poco extraño caminar. El bebé fue abandonado y se veía lindo. Quiero que Chaplin lo planteara. Me sorprendió la realidad de que el bebé fue abandonado. Quiero que crezcas bien.	Lower_intermediate
Mientras Charlie está andando por la calle y fumando un cigarillo, encuentra un bebé en la esquina de la calle. Al principio piensa que es de una señora pasando por ahí pero ella lo nega. Después, quiere dejarlo a donde lo encontró pero al fin no puede hacerlo por que aparece un policia. En la próxima escena deja el bebé a las manos de un señor viejo, quien además lo pone al carrito de bebé de la mujer de antes. La señora ve Charlie pasar y aa fin de la historia Charlie se queda con el bebé.	Lower_advanced
Un día Pablo, un niño de 6 años, encontró una rana. Lo trajo a su cuarto, pero cuando Pablo estaba durmiendo, !la rana se escapó! Cuando Pablo se dio cuenta, estaba muy triste. Decidió ir a buscar a la rana con su perro. Buscaron en el bosque, en los arboles, y detrás de una roca. Pero lo único que encontraron fue un ciervo, quien los tiró en el rio! Pablo y su perro estaban muy desesperados, y se sentaron al lado de un tronco caído de un árbol. Detrás del tronco, encontraron a la familia de ranas! Pablo, su perro, y su rana volvieron a casa. Fin.	Lower_advanced
El ano pasado durante las vacaciones, mi familia y yo viajamos a Utah. En Utah nosotros visitamos las montanas y esquiamos. Novia todos los dias, y nosotros nos siempre divertimos. Cuando fuimos a esquiar, nosotros siempre escalamos tan alta que pudimos. Despues nosotros esquiariamos a nuestro casa. La casa estuvo en la montana. Los gatos y los peros viven juntos en Utah. Tambien los chupacabras tienen casas en la piscina. Cuando los OVNIs llegaron, nosotros corrimos en las montanas, y construimos un castillo para proteger la libertad. Despues, los martianos fueron a mi casa y la ponieron encima del fuego. Les mate.	Lower_intermediate
